pickup_loc,dropoff_loc,pickup_time_window,dropoff_time_window,pickup_idx,dropoff_idx
"(40.864473144702195, -73.84742222112843)","(40.864001692449804, -73.86490095700572)","[1736932901, 1736933501]","[1736933566, 1736934166]",3,32
"(40.80116891085428, -73.93734541088784)","(40.7804358623655, -73.95701147673898)","[1736932627, 1736933227]","[1736933813, 1736934413]",74,236
"(40.80116891085428, -73.93734541088784)","(40.78247754663512, -73.96555333253927)","[1736935951, 1736936551]","[1736938019, 1736938619]",74,43
"(40.75731129884057, -73.88531717474534)","(nan, nan)","[1736980307, 1736980907]","[1736980310, 1736980910]",129,264
"(40.721431577704266, -73.84766950965373)","(40.721431577704266, -73.84766950965373)","[1736954027, 1736954627]","[1736954444, 1736955044]",95,95
"(40.721431577704266, -73.84766950965373)","(40.711595617530804, -73.80872920303486)","[1736958466, 1736959066]","[1736959383, 1736959983]",95,28
"(40.80116891085428, -73.93734541088784)","(40.818257335373325, -73.94077146485535)","[1736928364, 1736928964]","[1736928543, 1736929143]",74,42
"(40.761491871286914, -73.91969414823338)","(40.77742623503464, -73.90540758029051)","[1736942708, 1736943308]","[1736943146, 1736943746]",7,223
"(40.80196998334448, -73.96547928175484)","(40.804333415399725, -73.95129178711059)","[1736959551, 1736960151]","[1736959877, 1736960477]",24,41
"(40.790010174695276, -73.94575006014017)","(40.77437500521857, -73.87362858929284)","[1736935323, 1736935923]","[1736936725, 1736937325]",75,138
"(40.761491871286914, -73.91969414823338)","(40.760312986256764, -73.94199685737978)","[1736929397, 1736929997]","[1736929885, 1736930485]",7,193
"(40.80116891085428, -73.93734541088784)","(40.783960906967955, -73.97863169853204)","[1736962525, 1736963125]","[1736963771, 1736964371]",74,239
"(40.790010174695276, -73.94575006014017)","(40.76442083728811, -73.97756843414602)","[1736931323, 1736931923]","[1736932509, 1736933109]",75,163
"(40.804333415399725, -73.95129178711059)","(40.76442083728811, -73.97756843414602)","[1736940356, 1736940956]","[1736942130, 1736942730]",41,163
"(40.790010174695276, -73.94575006014017)","(40.7804358623655, -73.95701147673898)","[1736963456, 1736964056]","[1736963842, 1736964442]",75,236
"(40.80116891085428, -73.93734541088784)","(40.818257335373325, -73.94077146485535)","[1736962524, 1736963124]","[1736962960, 1736963560]",74,42
"(40.77156959171683, -73.92833300340698)","(40.77156959171683, -73.92833300340698)","[1736963443, 1736964043]","[1736964160, 1736964760]",179,179
"(40.804333415399725, -73.95129178711059)","(40.790010174695276, -73.94575006014017)","[1736949548, 1736950148]","[1736949896, 1736950496]",41,75
"(40.80196998334448, -73.96547928175484)","(40.80116891085428, -73.93734541088784)","[1736962851, 1736963451]","[1736963944, 1736964544]",24,74
"(40.80116891085428, -73.93734541088784)","(40.783960906967955, -73.97863169853204)","[1736964663, 1736965263]","[1736965650, 1736966250]",74,239
